"","names","total"
"4977","week or so",208
"4978","what i need",208
"4979","who has a",208
"4980","will help you",208
"4981","you can imagine",208
"4982","also known as",207
"4983","and get the",207
"4984","and see the",207
"4985","are starting to",207
"4986","be a very",207
"4987","doesnt have a",207
"4988","got home from",207
"4989","i didnt like",207
"4990","i feel bad",207
"4991","in south africa",207
"4992","it was worth",207
"4993","it when you",207
"4994","its the best",207
"4995","like to do",207
"4996","right in the",207
"4997","role in the",207
"4998","something that is",207
"4999","the body of",207
"5000","the question of",207
"5001","the supreme court",207
"5002","there is some",207
"5003","wants to go",207
"5004","we are at",207
"5005","which will be",207
"5006","you all for",207
"5007","you should follow",207
"5008","a friend who",206
"5009","and not a",206
"5010","as i had",206
"5011","at all but",206
"5012","better than i",206
"5013","cannot wait to",206
"5014","does this mean",206
"5015","for the shoutout",206
"5016","have to find",206
"5017","he said i",206
"5018","huge fan of",206
"5019","i came up",206
"5020","i was also",206
"5021","is now a",206
"5022","it from the",206
"5023","it used to",206
"5024","it was for",206
"5025","of a few",206
"5026","on the cover",206
"5027","out that the",206
"5028","put on the",206
"5029","show at the",206
"5030","so im not",206
"5031","some of that",206
"5032","the most of",206
"5033","the urge to",206
"5034","time and i",206
"5035","time on the",206
"5036","time with the",206
"5037","to hear you",206
"5038","trying not to",206
"5039","up on a",206
"5040","was a huge",206
"5041","was thinking about",206
"5042","we had the",206
"5043","were looking for",206
"5044","will be an",206
"5045","with a good",206
"5046","you get your",206
"5047","you ready for",206
"5048","a while to",205
"5049","am looking forward",205
"5050","but i couldnt",205
"5051","call me maybe",205
"5052","can you tell",205
"5053","do it all",205
"5054","end of a",205
"5055","every once in",205
"5056","have a couple",205
"5057","have you heard",205
"5058","i could use",205
"5059","if its a",205
"5060","im bout to",205
"5061","it i dont",205
"5062","it is more",205
"5063","its in the",205
"5064","my first time",205
"5065","my head and",205
"5066","never had a",205
"5067","not trying to",205
"5068","one that i",205
"5069","sure if i",205
"5070","the cause of",205
"5071","the phone with",205
"5072","think that i",205
"5073","to be over",205
"5074","to be your",205
"5075","to know if",205
"5076","was also a",205
"5077","what about you",205
"5078","what if i",205
"5079","with it and",205
"5080","would have a",205
"5081","you are on",205
"5082","you for being",205
"5083","a few people",204
"5084","a while since",204
"5085","all you can",204
"5086","and i found",204
"5087","because of this",204
"5088","didnt have the",204
"5089","dont tell me",204
"5090","ended up with",204
"5091","for letting me",204
"5092","he was so",204
"5093","i didnt realize",204
"5094","i hope he",204
"5095","i realized i",204
"5096","i remember the",204
"5097","i went back",204
"5098","if it wasnt",204
"5099","im off to",204
"5100","im on a",204
"5101","in mind that",204
"5102","is pretty much",204
"5103","is probably the",204
"5104","is where i",204
"5105","me right now",204
"5106","my mind is",204
"5107","not only is",204
"5108","of the above",204
"5109","of the whole",204
"5110","of us have",204
"5111","see if you",204
"5112","that its a",204
"5113","that there were",204
"5114","the voice of",204
"5115","the world but",204
"5116","to look forward",204
"5117","to share it",204
"5118","to spend a",204
"5119","way to do",204
"5120","with him and",204
"5121","work with the",204
"5122","you can buy",204
"5123","a great one",203
"5124","a nice day",203
"5125","about it but",203
"5126","about what i",203
"5127","and he said",203
"5128","are ready to",203
"5129","at pm on",203
"5130","but it wasnt",203
"5131","but no one",203
"5132","but not the",203
"5133","came out to",203
"5134","can be seen",203
"5135","do i know",203
"5136","for a job",203
"5137","from the first",203
"5138","great to hear",203
"5139","have made it",203
"5140","i can still",203
"5141","i could make",203
"5142","i guess thats",203
"5143","i have come",203
"5144","i need you",203
"5145","in at the",203
"5146","it hard to",203
"5147","love the way",203
"5148","me so much",203
"5149","more than million",203
"5150","number of people",203
"5151","of it as",203
"5152","of my mind",203
"5153","on the big",203
"5154","one and only",203
"5155","out from the",203
"5156","pictures of the",203
"5157","see in the",203
"5158","so much so",203
"5159","than i thought",203
"5160","the joy of",203
"5161","the length of",203
"5162","the link to",203
"5163","they were in",203
"5164","time for some",203
"5165","to speak to",203
"5166","today at the",203
"5167","wait to go",203
"5168","what did i",203
"5169","with the idea",203
"5170","wow what a",203
"5171","years old and",203
"5172","you know im",203
"5173","you to do",203
"5174","a regular basis",202
"5175","book in the",202
"5176","day of school",202
"5177","for the better",202
"5178","forward to hearing",202
"5179","glass of wine",202
"5180","hard for me",202
"5181","i can hear",202
"5182","i can just",202
"5183","i feel a",202
"5184","im not really",202
"5185","in item c",202
"5186","is only one",202
"5187","part of their",202
"5188","spending time with",202
"5189","thanks to my",202
"5190","times a day",202
"5191","to feel like",202
"5192","to get their",202
"5193","to save the",202
"5194","to the house",202
"5195","to watch a",202
"5196","when you do",202
"5197","who they are",202
"5198","why i love",202
"5199","with my friends",202
"5200","would you do",202
"5201","and im so",201
"5202","any of them",201
"5203","because of a",201
"5204","because you are",201
"5205","for the good",201
"5206","get it done",201
"5207","great to have",201
"5208","had time to",201
"5209","happy with the",201
"5210","heart of the",201
"5211","i have nothing",201
"5212","i lost my",201
"5213","i must admit",201
"5214","i thought this",201
"5215","if any of",201
"5216","in life is",201
"5217","in support of",201
"5218","in the bottom",201
"5219","it and then",201
"5220","it was to",201
"5221","just told me",201
"5222","like to share",201
"5223","need to learn",201
"5224","of what the",201
"5225","other day i",201
"5226","so far so",201
"5227","that was not",201
"5228","the best day",201
"5229","the very least",201
"5230","there may be",201
"5231","they dont know",201
"5232","time i had",201
"5233","to hear what",201
"5234","we have an",201
"5235","a lot better",200
"5236","a touch of",200
"5237","advantage of the",200
"5238","all that i",200
"5239","because we are",200
"5240","been in a",200
"5241","down at the",200
"5242","for the time",200
"5243","great time at",200
"5244","have you tried",200
"5245","him to be",200
"5246","i have more",200
"5247","i no longer",200
"5248","i was working",200
"5249","id have to",200
"5250","is my first",200
"5251","is my new",200
"5252","is up to",200
"5253","it is and",200
"5254","it is like",200
"5255","it is really",200
"5256","it looked like",200
"5257","let me get",200
"5258","need of a",200
"5259","not for the",200
"5260","people in my",200
"5261","that a lot",200
"5262","that as a",200
"5263","the day with",200
"5264","the king of",200
"5265","the only time",200
"5266","the sort of",200
"5267","this point i",200
"5268","this weekend and",200
"5269","to be working",200
"5270","to do more",200
"5271","too much for",200
"5272","used in the",200
"5273","what does it",200
"5274","would be more",200
"5275","a sign of",199
"5276","at the table",199
"5277","be found in",199
"5278","by far the",199
"5279","exactly the same",199
"5280","for a better",199
"5281","good to me",199
"5282","had been a",199
"5283","have to start",199
"5284","have to try",199
"5285","he does not",199
"5286","i hope your",199
"5287","if you arent",199
"5288","in one day",199
"5289","its about time",199
"5290","just as much",199
"5291","like a little",199
"5292","matter how much",199
"5293","me think of",199
"5294","new york and",199
"5295","not on the",199
"5296","place to be",199
"5297","proud of my",199
"5298","see all the",199
"5299","so that it",199
"5300","something that i",199
"5301","the names of",199
"5302","the th of",199
"5303","there are plenty",199
"5304","to celebrate the",199
"5305","to not be",199
"5306","two of my",199
"5307","want to thank",199
"5308","what have you",199
"5309","will be no",199
"5310","amazon services llc",198
"5311","behind the scenes",198
"5312","couple of hours",198
"5313","do it i",198
"5314","doing the same",198
"5315","for the tweet",198
"5316","good thing i",198
"5317","great place to",198
"5318","have to check",198
"5319","i read it",198
"5320","if we were",198
"5321","if you follow",198
"5322","know how you",198
"5323","move on to",198
"5324","of people in",198
"5325","of the holy",198
"5326","on the line",198
"5327","said i was",198
"5328","that i used",198
"5329","that in a",198
"5330","thing is that",198
"5331","to share my",198
"5332","up with some",198
"5333","we are having",198
"5334","we can see",198
"5335","well i have",198
"5336","what he was",198
"5337","whos going to",198
"5338","world war ii",198
"5339","you are and",198
"5340","a while back",197
"5341","all the new",197
"5342","and we all",197
"5343","any of these",197
"5344","as they were",197
"5345","at least for",197
"5346","at least two",197
"5347","at the hospital",197
"5348","better than a",197
"5349","day for a",197
"5350","earlier in the",197
"5351","fact that it",197
"5352","he said it",197
"5353","i am thinking",197
"5354","i cant imagine",197
"5355","i didnt really",197
"5356","i do believe",197
"5357","i going to",197
"5358","i know we",197
"5359","if you really",197
"5360","it that way",197
"5361","just got done",197
"5362","let it go",197
"5363","looks like it",197
"5364","make sure the",197
"5365","makes me happy",197
"5366","me in my",197
"5367","no reason to",197
"5368","not a big",197
"5369","not allowed to",197
"5370","of love and",197
"5371","on right now",197
"5372","rock n roll",197
"5373","seems to me",197
"5374","sitting next to",197
"5375","that is just",197
"5376","the first book",197
"5377","the kind words",197
"5378","the next week",197
"5379","they are just",197
"5380","thought that was",197
"5381","to sleep in",197
"5382","to take advantage",197
"5383","to the side",197
"5384","want to miss",197
"5385","we would like",197
"5386","what type of",197
"5387","what you mean",197
"5388","will get a",197
"5389","you liked it",197
"5390","you really want",197
"5391","an interview with",196
"5392","and what is",196
"5393","are talking about",196
"5394","do you use",196
"5395","dont care if",196
"5396","dont you think",196
"5397","feel the need",196
"5398","feels good to",196
"5399","get over it",196
"5400","going to need",196
"5401","how you feel",196
"5402","i absolutely love",196
"5403","i can never",196
"5404","im listening to",196
"5405","in so many",196
"5406","is not as",196
"5407","it felt like",196
"5408","just made my",196
"5409","more often than",196
"5410","more than you",196
"5411","my heart is",196
"5412","not even a",196
"5413","now is the",196
"5414","off of the",196
"5415","people need to",196
"5416","the first round",196
"5417","the most popular",196
"5418","the results of",196
"5419","theres no way",196
"5420","this can be",196
"5421","to be fair",196
"5422","to find it",196
"5423","to know you",196
"5424","to take over",196
"5425","was in my",196
"5426","were at the",196
"5427","when you go",196
"5428","about the new",195
"5429","all you do",195
"5430","am so happy",195
"5431","and do not",195
"5432","and he has",195
"5433","believe in the",195
"5434","can we get",195
"5435","continue to be",195
"5436","from all the",195
"5437","get in touch",195
"5438","i cannot wait",195
"5439","i feel about",195
"5440","i have in",195
"5441","i say i",195
"5442","i say that",195
"5443","i was feeling",195
"5444","im not gonna",195
"5445","im sorry but",195
"5446","in any case",195
"5447","in his own",195
"5448","in the best",195
"5449","my mind i",195
"5450","nothing like a",195
"5451","put in the",195
"5452","reach out to",195
"5453","tell you about",195
"5454","the courage to",195
"5455","this may be",195
"5456","this time around",195
"5457","to get started",195
"5458","to join us",195
"5459","to me is",195
"5460","to me it",195
"5461","to wait until",195
"5462","today and i",195
"5463","us at the",195
"5464","what should i",195
"5465","when i dont",195
"5466","where there is",195
"5467","will be held",195
"5468","with a great",195
"5469","would be better",195
"5470","a bit like",194
"5471","a hint of",194
"5472","a story about",194
"5473","at one time",194
"5474","at work and",194
"5475","been one of",194
"5476","catch up with",194
"5477","done with the",194
"5478","for as long",194
"5479","great day to",194
"5480","he and his",194
"5481","here we come",194
"5482","i have used",194
"5483","if u want",194
"5484","in the st",194
"5485","is more important",194
"5486","is the key",194
"5487","is this the",194
"5488","is where the",194
"5489","it i am",194
"5490","lets see how",194
"5491","never been to",194
"5492","never going to",194
"5493","of the national",194
"5494","of the water",194
"5495","so im going",194
"5496","that we could",194
"5497","the author of",194
"5498","the floor and",194
"5499","the front door",194
"5500","this week we",194
"5501","to do when",194
"5502","up for it",194
"5503","way of life",194
"5504","we should have",194
"5505","well i guess",194
"5506","what does that",194
"5507","what i love",194
"5508","would be in",194
"5509","you guys have",194
"5510","you know where",194
"5511","a mix of",193
"5512","an eye on",193
"5513","around in the",193
"5514","because i love",193
"5515","day i was",193
"5516","days of the",193
"5517","dont understand why",193
"5518","gearing up for",193
"5519","go into the",193
"5520","have to ask",193
"5521","hope you get",193
"5522","i lived in",193
"5523","i wish it",193
"5524","if i should",193
"5525","in the building",193
"5526","in the spring",193
"5527","in the states",193
"5528","it a little",193
"5529","it is always",193
"5530","it was hard",193
"5531","its the only",193
"5532","just to see",193
"5533","last few days",193
"5534","last week and",193
"5535","like a lot",193
"5536","made me think",193
"5537","make my day",193
"5538","ready for this",193
"5539","that has a",193
"5540","that is my",193
"5541","that we would",193
"5542","the context of",193
"5543","the success of",193
"5544","the top and",193
"5545","the way in",193
"5546","to be taken",193
"5547","to play a",193
"5548","to see u",193
"5549","used to it",193
"5550","was a nice",193
"5551","what its like",193
"5552","when i need",193
"5553","you are very",193
"5554","a couple weeks",192
"5555","a good weekend",192
"5556","a heart attack",192
"5557","and his family",192
"5558","and the way",192
"5559","and then it",192
"5560","at least not",192
"5561","bring on the",192
"5562","dont think that",192
"5563","get it in",192
"5564","have any questions",192
"5565","hope i can",192
"5566","if there are",192
"5567","is not what",192
"5568","is still in",192
"5569","look at this",192
"5570","maybe it was",192
"5571","next few days",192
"5572","on a friday",192
"5573","on the market",192
"5574","out of that",192
"5575","people on the",192
"5576","related to the",192
"5577","shut the up",192
"5578","so so so",192
"5579","the mood for",192
"5580","the time it",192
"5581","there for a",192
"5582","this post is",192
"5583","to do things",192
"5584","what to expect",192
"5585","where they are",192
"5586","you enjoyed it",192
"5587","you will need",192
"5588","able to go",191
"5589","an eye out",191
"5590","and for a",191
"5591","and im still",191
"5592","and when the",191
"5593","as we are",191
"5594","be used for",191
"5595","been up to",191
"5596","can see it",191
"5597","can you believe",191
"5598","comes from the",191
"5599","control of the",191
"5600","day of my",191
"5601","for the year",191
"5602","go home and",191
"5603","got a little",191
"5604","here is what",191
"5605","i get that",191
"5606","i realize that",191
"5607","if they have",191
"5608","it may not",191
"5609","look at that",191
"5610","many of these",191
"5611","much as possible",191
"5612","point in the",191
"5613","preheat oven to",191
"5614","since it was",191
"5615","sorry about that",191
"5616","the past couple",191
"5617","the reality of",191
"5618","the same for",191
"5619","time i see",191
"5620","to do was",191
"5621","want to come",191
"5622","weve got a",191
"5623","what i said",191
"5624","what they were",191
"5625","which i have",191
"5626","you should come",191
"5627","a few other",190
"5628","and a bit",190
"5629","and i never",190
"5630","are plenty of",190
"5631","cant think of",190
"5632","dont think its",190
"5633","getting out of",190
"5634","have a blessed",190
"5635","i have two",190
"5636","i know who",190
"5637","in the gym",190
"5638","in which i",190
"5639","is about the",190
"5640","is likely to",190
"5641","it but it",190
"5642","it right now",190
"5643","it wasnt a",190
"5644","listen to it",190
"5645","make sure i",190
"5646","no one will",190
"5647","send it to",190
"5648","still on the",190
"5649","the development of",190
"5650","the sense of",190
"5651","the world the",190
"5652","think i would",190
"5653","this as a",190
"5654","this is true",190
"5655","this should be",190
"5656","this was my",190
"5657","to protect the",190
"5658","today i have",190
"5659","up to my",190
"5660","was out of",190
"5661","way out of",190
"5662","which was a",190
"5663","with the most",190
"5664","you might want",190
"5665","a little better",189
"5666","but in a",189
"5667","but you dont",189
"5668","can be the",189
"5669","email me at",189
"5670","even if its",189
"5671","feel like it",189
"5672","for the game",189
"5673","head to the",189
"5674","in fact it",189
"5675","in new orleans",189
"5676","in the market",189
"5677","in the mix",189
"5678","it is possible",189
"5679","just me or",189
"5680","me know how",189
"5681","of them i",189
"5682","of those days",189
"5683","realized that i",189
"5684","really hard to",189
"5685","should be in",189
"5686","spend time with",189
"5687","thanks for a",189
"5688","the first few",189
"5689","the follow i",189
"5690","the opposite of",189
"5691","the right direction",189
"5692","they are doing",189
"5693","they wanted to",189
"5694","this but i",189
"5695","this game is",189
"5696","to get his",189
"5697","to my house",189
"5698","was nice to",189
"5699","we did not",189
"5700","where it is",189
"5701","who is going",189
"5702","why do we",189
"5703","why i dont",189
"5704","will make it",189
"5705","with a couple",189
"5706","you are too",189
"5707","you get it",189
"5708","you got to",189
"5709","and that it",188
"5710","and the whole",188
"5711","and then they",188
"5712","at least it",188
"5713","be afraid to",188
"5714","because there is",188
"5715","can see that",188
"5716","deal with it",188
"5717","dont know i",188
"5718","for me is",188
"5719","has been on",188
"5720","him on the",188
"5721","i dont mean",188
"5722","i just did",188
"5723","i love all",188
"5724","i missed you",188
"5725","im done with",188
"5726","im just a",188
"5727","in a day",188
"5728","is a pretty",188
"5729","its the same",188
"5730","now for the",188
"5731","of course there",188
"5732","of jesus christ",188
"5733","on your blog",188
"5734","say thank you",188
"5735","thank you thank",188
"5736","that but i",188
"5737","that the only",188
"5738","that we dont",188
"5739","that you would",188
"5740","the details of",188
"5741","the right time",188
"5742","this might be",188
"5743","to get home",188
"5744","to make that",188
"5745","us know what",188
"5746","watch out for",188
"5747","we going to",188
"5748","we were going",188
"5749","would be like",188
"5750","anything to do",187
"5751","are we going",187
"5752","are you kidding",187
"5753","as i get",187
"5754","be honest i",187
"5755","both sides of",187
"5756","but i hope",187
"5757","find out how",187
"5758","for my first",187
"5759","good or bad",187
"5760","has come to",187
"5761","has the best",187
"5762","he is so",187
"5763","him and he",187
"5764","how would you",187
"5765","i am excited",187
"5766","i have also",187
"5767","i have yet",187
"5768","i just hope",187
"5769","i was watching",187
"5770","i will tell",187
"5771","i would rather",187
"5772","in the store",187
"5773","is the man",187
"5774","it up with",187
"5775","its not about",187
"5776","like to say",187
"5777","mom and dad",187
"5778","more than years",187
"5779","not only did",187
"5780","on its way",187
"5781","out to all",187
"5782","say it was",187
"5783","so as to",187
"5784","the birth of",187
"5785","the game and",187
"5786","to enter the",187
"5787","to respond to",187
"5788","very hard to",187
"5789","want to keep",187
"5790","whatever it is",187
"5791","youre the best",187
"5792","a blog post",186
"5793","a life of",186
"5794","ago i was",186
"5795","and see how",186
"5796","dont be afraid",186
"5797","had such a",186
"5798","hard not to",186
"5799","have a hard",186
"5800","high school and",186
"5801","i can not",186
"5802","ill be at",186
"5803","in exchange for",186
"5804","in store for",186
"5805","in the picture",186
"5806","in the story",186
"5807","just because you",186
"5808","me to make",186
"5809","now it is",186
"5810","of the school",186
"5811","picked up the",186
"5812","right in front",186
"5813","such a beautiful",186
"5814","the benefits of",186
"5815","the definition of",186
"5816","to buy the",186
"5817","to finish the",186
"5818","to go down",186
"5819","to stand up",186
"5820","up with this",186
"5821","was that i",186
"5822","we were able",186
"5823","when there is",186
"5824","you as a",186
"5825","a bad idea",185
"5826","a girl who",185
"5827","about how much",185
"5828","and how they",185
"5829","and tell me",185
"5830","for a change",185
"5831","gave me the",185
"5832","get a lot",185
"5833","going to watch",185
"5834","had to say",185
"5835","have ever seen",185
"5836","hope that you",185
"5837","hope you will",185
"5838","i really wish",185
"5839","i see that",185
"5840","in an attempt",185
"5841","in the bible",185
"5842","in the whole",185
"5843","its a bit",185
"5844","its great to",185
"5845","just the way",185
"5846","not what i",185
"5847","of the series",185
"5848","of this world",185
"5849","on his face",185
"5850","or not to",185
"5851","ought to be",185
"5852","say i love",185
"5853","some of their",185
"5854","take me to",185
"5855","the cover of",185
"5856","the last minute",185
"5857","the pleasure of",185
"5858","to it and",185
"5859","to you as",185
"5860","up to date",185
"5861","we are doing",185
"5862","we dont need",185
"5863","who do not",185
"5864","with them and",185
"5865","you can never",185
"5866","and while i",184
"5867","at pm and",184
"5868","been a great",184
"5869","cant tell you",184
"5870","come on down",184
"5871","dont forget the",184
"5872","enough for me",184
"5873","good news is",184
"5874","have an amazing",184
"5875","have no clue",184
"5876","have to put",184
"5877","i thought he",184
"5878","i will follow",184
"5879","in the old",184
"5880","it had a",184
"5881","looked at me",184
"5882","love the new",184
"5883","of weeks ago",184
"5884","or are you",184
"5885","right back at",184
"5886","see you next",184
"5887","so much time",184
"5888","that she has",184
"5889","they seem to",184
"5890","things are going",184
"5891","to announce that",184
"5892","to keep you",184
"5893","to the front",184
"5894","to the one",184
"5895","too much time",184
"5896","very close to",184
"5897","when i came",184
"5898","with the world",184
"5899","would be able",184
"5900","a better place",183
"5901","arrived at the",183
"5902","at the back",183
"5903","but i need",183
"5904","for a walk",183
"5905","from the past",183
"5906","have a job",183
"5907","hour and a",183
"5908","i have read",183
"5909","i just couldnt",183
"5910","i like my",183
"5911","if i did",183
"5912","in a bowl",183
"5913","in a car",183
"5914","is to have",183
"5915","it through the",183
"5916","learned how to",183
"5917","like that i",183
"5918","of the team",183
"5919","of this year",183
"5920","out the new",183
"5921","out there who",183
"5922","plans for the",183
"5923","ready for some",183
"5924","result of the",183
"5925","so here is",183
"5926","so i got",183
"5927","so much about",183
"5928","so much easier",183
"5929","that makes you",183
"5930","the one you",183
"5931","there was nothing",183
"5932","to get better",183
"5933","was so excited",183
"5934","we miss you",183
"5935","what to say",183
"5936","who had been",183
"5937","a month ago",182
"5938","a range of",182
"5939","and of the",182
"5940","at the library",182
"5941","because of my",182
"5942","come join us",182
"5943","each of us",182
"5944","falling in love",182
"5945","fill in the",182
"5946","from all of",182
"5947","from the start",182
"5948","goes to the",182
"5949","happened to be",182
"5950","happy th birthday",182
"5951","have had the",182
"5952","help me get",182
"5953","i found that",182
"5954","i use to",182
"5955","in it and",182
"5956","ive been doing",182
"5957","ive been working",182
"5958","ive got to",182
"5959","just the right",182
"5960","keep you posted",182
"5961","know what is",182
"5962","need more followers",182
"5963","now we are",182
"5964","of the public",182
"5965","oh how i",182
"5966","once upon a",182
"5967","plenty of time",182
"5968","put up with",182
"5969","should be fun",182
"5970","so i did",182
"5971","someone who has",182
"5972","the person you",182
"5973","times a week",182
"5974","to keep a",182
"5975","to use my",182
"5976","tune in to",182
"5977","university of chicago",182
"5978","will have the",182
"5979","woke up to",182
"5980","you think it",182
"5981","all the more",181
"5982","and watch the",181
"5983","anyone have a",181
"5984","apart from the",181
"5985","are just a",181
"5986","because they have",181
"5987","blah blah blah",181
"5988","bout to go",181
"5989","day at work",181
"5990","day for the",181
"5991","didnt get a",181
"5992","dont even have",181
"5993","first thing i",181
"5994","good idea to",181
"5995","had an amazing",181
"5996","i like this",181
"5997","i was gonna",181
"5998","i will post",181
"5999","i wrote a",181
"6000","is killing me",181
"6001","is like the",181
"6002","is on a",181
"6003","is that he",181
"6004","it was more",181
"6005","me about it",181
"6006","me that he",181
"6007","more time to",181
"6008","never give up",181
"6009","never know what",181
"6010","of my time",181
"6011","of our own",181
"6012","of things to",181
"6013","pm at the",181
"6014","the absence of",181
"6015","the day when",181
"6016","the place to",181
"6017","there are people",181
"6018","they were not",181
"6019","this was not",181
"6020","time to take",181
"6021","to let the",181
"6022","to say this",181
"6023","to share a",181
"6024","to start my",181
"6025","to start with",181
"6026","try to do",181
"6027","want to live",181
"6028","was so good",181
"6029","wish it was",181
"6030","with you i",181
"6031","years ago when",181
"6032","you can just",181
"6033","you talking about",181
"6034","about how i",180
"6035","all i could",180
"6036","are you gonna",180
"6037","as we were",180
"6038","asked if i",180
"6039","at each other",180
"6040","at pm at",180
"6041","dealing with the",180
"6042","dont think it",180
"6043","for the world",180
"6044","forward to meeting",180
"6045","good morning to",180
"6046","home from the",180
"6047","how r u",180
"6048","i always have",180
"6049","i cant go",180
"6050","i chose to",180
"6051","i like you",180
"6052","i will make",180
"6053","if we could",180
"6054","in the bathroom",180
"6055","is in my",180
"6056","it a lot",180
"6057","its a very",180
"6058","know this is",180
"6059","like the way",180
"6060","love you more",180
"6061","made in the",180
"6062","now have a",180
"6063","on the air",180
"6064","or not i",180
"6065","some of it",180
"6066","the ones i",180
"6067","the other one",180
"6068","there are lots",180
"6069","they are still",180
"6070","this in the",180
"6071","to read and",180
"6072","today at pm",180
"6073","what happens to",180
"6074","word of god",180
"6075","you decide to",180
"6076","you up to",180
"6077","you were in",180
"6078","a couple days",179
"6079","a follow back",179
"6080","a good start",179
"6081","a time to",179
"6082","all had a",179
"6083","all the great",179
"6084","and cant wait",179
"6085","are you talking",179
"6086","been a good",179
"6087","but it seems",179
"6088","every time you",179
"6089","feel bad for",179
"6090","for me its",179
"6091","have a big",179
"6092","i know he",179
"6093","i must be",179
"6094","i think youre",179
"6095","i was surprised",179
"6096","in the family",179
"6097","is so cute",179
"6098","like to hear",179
"6099","little more than",179
"6100","looking for an",179
"6101","lots of great",179
"6102","of this blog",179
"6103","on a sunday",179
"6104","on the last",179
"6105","on the streets",179
"6106","one for the",179
"6107","open to the",179
"6108","pretty much the",179
"6109","she was in",179
"6110","so much as",179
"6111","that you want",179
"6112","that you were",179
"6113","the day that",179
"6114","the last year",179
"6115","the road and",179
"6116","then you can",179
"6117","to keep your",179
"6118","to wear a",179
"6119","want to help",179
"6120","want to leave",179
"6121","was when i",179
"6122","we need more",179
"6123","with the fact",179
"6124","you for sharing",179
"6125","youve got a",179
"6126","a lot in",178
"6127","a pile of",178
"6128","and i felt",178
"6129","and the people",178
"6130","anyone want to",178
"6131","at the mall",178
"6132","can say is",178
"6133","come back and",178
"6134","dont let the",178
"6135","feel like the",178
"6136","for anyone who",178
"6137","for me as",178
"6138","him and his",178
"6139","i am ready",178
"6140","i have just",178
"6141","i hope youre",178
"6142","in a statement",178
"6143","in the head",178
"6144","in the nba",178
"6145","know it is",178
"6146","looking for something",178
"6147","love it i",178
"6148","me to a",178
"6149","more to go",178
"6150","my mind and",178
"6151","now i want",178
"6152","of high school",178
"6153","of them in",178
"6154","oh and i",178
"6155","on the east",178
"6156","rid of the",178
"6157","that looks like",178
"6158","that make me",178
"6159","the effects of",178
"6160","the fear of",178
"6161","the image of",178
"6162","the impact of",178
"6163","the relationship between",178
"6164","there was one",178
"6165","to believe in",178
"6166","to go get",178
"6167","to put my",178
"6168","we go to",178
"6169","what is happening",178
"6170","what they say",178
"6171","when he is",178
"6172","while he was",178
"6173","who am i",178
"6174","with a smile",178
"6175","working in the",178
"6176","you that you",178
"6177","you with a",178
"6178","about a month",177
"6179","about what you",177
"6180","after the first",177
"6181","all night long",177
"6182","and do it",177
"6183","and ended up",177
"6184","and that they",177
"6185","and thats what",177
"6186","and with a",177
"6187","are lots of",177
"6188","at the next",177
"6189","be a fun",177
"6190","be hard to",177
"6191","but i wanted",177
"6192","cant wait til",177
"6193","care of the",177
"6194","comes down to",177
"6195","even though he",177
"6196","forward to reading",177
"6197","front of my",177
"6198","give him a",177
"6199","have an awesome",177
"6200","have been working",177
"6201","how am i",177
"6202","i cant think",177
"6203","i did and",177
"6204","i would go",177
"6205","in the box",177
"6206","is a really",177
"6207","is not about",177
"6208","is on my",177
"6209","is the greatest",177
"6210","it would take",177
"6211","it wouldnt be",177
"6212","like it is",177
"6213","looks like i",177
"6214","need to work",177
"6215","of social media",177
"6216","order to get",177
"6217","regardless of the",177
"6218","rock and roll",177
"6219","said that he",177
"6220","same to you",177
"6221","sit on the",177
"6222","so you dont",177
"6223","the other is",177
"6224","the time that",177
"6225","to head to",177
"6226","tried to get",177
"6227","very long time",177
"6228","want to buy",177
"6229","way to work",177
"6230","what i like",177
"6231","what im talking",177
"6232","will be here",177
"6233","will be up",177
"6234","will go to",177
"6235","will keep you",177
"6236","a day off",176
"6237","a good place",176
"6238","all at once",176
"6239","all those who",176
"6240","and now the",176
"6241","as you are",176
"6242","author of the",176
"6243","be going to",176
"6244","couple of times",176
"6245","dont miss out",176
"6246","during the week",176
"6247","earlier this year",176
"6248","every single day",176
"6249","for all that",176
"6250","for over a",176
"6251","for such a",176
"6252","good luck on",176
"6253","had the same",176
"6254","has been so",176
"6255","have been on",176
"6256","have such a",176
"6257","havent been able",176
"6258","i am grateful",176
"6259","i can have",176
"6260","i do like",176
"6261","i do think",176
"6262","i find the",176
"6263","i hope its",176
"6264","i put my",176
"6265","i was having",176
"6266","if you feel",176
"6267","in my bed",176
"6268","in the eye",176
"6269","is ready to",176
"6270","it did not",176
"6271","its just not",176
"6272","its just that",176
"6273","just dont know",176
"6274","know about you",176
"6275","let them know",176
"6276","like this one",176
"6277","lost in the",176
"6278","may have a",176
"6279","of the kids",176
"6280","of these days",176
"6281","of these things",176
"6282","responsible for the",176
"6283","sense of the",176
"6284","sitting in a",176
"6285","so what do",176
"6286","that you need",176
"6287","the owner of",176
"6288","there were some",176
"6289","this means that",176
"6290","to in the",176
"6291","to point out",176
"6292","to the big",176
"6293","to the lord",176
"6294","understanding of the",176
"6295","want to use",176
"6296","will be closed",176
"6297","will be missed",176
"6298","would want to",176
"6299","you ask me",176
"6300","you believe in",176
"6301","you know me",176
"6302","you see a",176
"6303","a bowl of",175
"6304","a day and",175
"6305","a of a",175
"6306","a very special",175
"6307","a week ago",175
"6308","about a year",175
"6309","and if they",175
"6310","and you cant",175
