"","names","total"
"660","it was just",744
"661","reminds me of",744
"662","it on the",742
"663","to think about",741
"664","i want a",740
"665","in the back",739
"666","who wants to",739
"667","give me a",738
"668","thats what i",738
"669","what you think",737
"670","so excited to",736
"671","that i could",736
"672","have to get",735
"673","if you do",735
"674","love to see",734
"675","the use of",734
"676","there are many",732
"677","to have the",732
"678","if you like",731
"679","know what to",731
"680","to create a",730
"681","a good idea",729
"682","there are some",729
"683","make sure to",727
"684","you have any",727
"685","of the people",726
"686","that there are",726
"687","that we have",726
"688","a ton of",725
"689","mothers day to",724
"690","i know it",723
"691","or at least",723
"692","really want to",723
"693","the amount of",723
"694","a matter of",722
"695","at some point",722
"696","i have never",722
"697","so proud of",722
"698","that was the",721
"699","will be in",720
"700","can i get",719
"701","i havent been",719
"702","was a little",718
"703","a variety of",717
"704","i should have",716
"705","a sense of",715
"706","welcome to the",715
"707","awkward moment when",713
"708","so much to",713
"709","to come to",713
"710","up for the",712
"711","are the best",711
"712","out on the",711
"713","i like it",710
"714","you dont want",710
"715","a bit more",709
"716","get to the",709
"717","out of a",709
"718","thanks to all",709
"719","the only way",709
"720","for a new",708
"721","the story of",708
"722","what a great",707
"723","it to be",706
"724","if you havent",705
"725","know what i",704
"726","i just dont",703
"727","i still have",703
"728","whats going on",703
"729","the university of",702
"730","nothing to do",701
"731","i had no",700
"732","that you have",700
"733","those of you",700
"734","in the air",699
"735","more of a",699
"736","should be a",699
"737","to find the",699
"738","by the end",698
"739","i should be",697
"740","some sort of",697
"741","they are not",697
"742","you have the",697
"743","ready to go",696
"744","but i do",695
"745","in a row",695
"746","a list of",694
"747","i woke up",694
"748","thanks for your",694
"749","as i was",693
"750","i was thinking",692
"751","me know if",692
"752","when you have",692
"753","to use the",691
"754","it could be",690
"755","not to be",690
"756","think about it",690
"757","the new york",689
"758","the world is",689
"759","what i was",689
"760","members of the",688
"761","go to bed",686
"762","i love your",686
"763","is what i",686
"764","gonna be a",685
"765","im about to",685
"766","in the process",684
"767","while i was",684
"768","is there a",683
"769","part of my",683
"770","if it is",682
"771","of the book",681
"772","all of our",680
"773","and they are",680
"774","check out our",680
"775","have you ever",680
"776","i am the",679
"777","not sure if",679
"778","it was great",678
"779","it makes me",677
"780","would have to",677
"781","and we are",676
"782","the last few",676
"783","to keep the",675
"784","hope you are",674
"785","all of them",673
"786","on the th",673
"787","and i can",672
"788","all of this",671
"789","for the past",671
"790","when you get",671
"791","much for the",670
"792","need to go",670
"793","i dont get",669
"794","to the next",669
"795","is to be",666
"796","and i just",665
"797","new york city",665
"798","get rid of",664
"799","they have a",664
"800","on how to",663
"801","over the past",663
"802","the age of",663
"803","you know how",663
"804","at least one",662
"805","in a way",662
"806","it is to",662
"807","people in the",662
"808","some kind of",662
"809","a look at",661
"810","i didnt want",660
"811","on the phone",660
"812","the one who",659
"813","way to the",659
"814","you know the",658
"815","you get a",657
"816","a few months",656
"817","it might be",656
"818","which is a",656
"819","have you been",654
"820","if it was",654
"821","the chance to",654
"822","to catch up",654
"823","based on the",653
"824","im not going",651
"825","the best way",651
"826","the point of",651
"827","to say i",651
"828","to the point",651
"829","if i dont",650
"830","my best friend",650
"831","of the other",650
"832","of the season",650
"833","on to the",650
"834","we have been",650
"835","be one of",649
